sentence_id,text,dialect,features,msa_translation,,,,,,,
sentence_1,?? ????,Levantine,"Uses ""??"" for ""what"", common in Levantine (& Gulf)",???? ?????,,,,,,,
sentence_10,??? ????,Iraqi,"Uses ""???"" (???) and ""???"" (where). Iraqi specific verb form",??? ????,,,,,,,
sentence_100,???? ??? ???????,Gulf,"Uses ""???"" for ""okay"" and ""??????"" for ""we’ll see you""",?????? ??? ??????,,,,,,,
sentence_11,???? ???? ??????,Gulf,"Uses ""????"" meaning ""what happened""",???? ??? ??? ????,,,,,,,
sentence_12,?? ?? ?????,Levantine,"Uses ""??"" and ""?? ????"" for ""what are you doing?""",???? ?????,,,,,,,
sentence_13,??? ??????,Gulf,"Uses ""???"" for ""where"" and ""?????"" for ""market""",??? ??????,,,,,,,
sentence_14,???? ?????,Iraqi,"Uses ""????"" for ""how"" and ""????"" for ""your health""",??? ?????,,,,,,,
sentence_15,???? ??????,Egyptian,Simple Egyptian sentence asking if going to work,?? ???? ??? ??????,,,,,,,
sentence_16,??? ?? ?????,Levantine,"Uses ""???"" for ""why"" and ""?? ????"" for ""didn’t you answer?""",????? ?? ????,,,,,,,
sentence_17,???? ???????? ?????,Gulf,"""?????"" mean ""now"", common Gulf usage",????? ??????? ????,,,,,,,
sentence_18,??? ??? ????,Iraqi,"Iraqi verb form ""???"" for ""were"" with ""???"" meaning ""where""",??? ????,,,,,,,
sentence_19,???? ?????,Egyptian,Asking why someone is silent,????? ??? ?????,,,,,,,
sentence_2,???????,Gulf,"Combined ""??"" and ""??????"" in one word, common in Gulf dialect",?? ?? ???????,,,,,,,
sentence_20,?? ?????,Levantine,"Asks ""what’s your opinion?"" using ""??""",?? ?????,,,,,,,
sentence_21,???? ???,Gulf,"Phrase meaning ""may your hands be safe"" (thank you)",????? ??,,,,,,,
sentence_22,???? ???? ??????,Iraqi,"Asking ""how is the weather today?""",??? ????? ??????,,,,,,,
sentence_23,?????,Gulf,"Asking ""what is your name?""",?? ?????,,,,,,,
sentence_24,??? ???????,Gulf,Asking if someone saw the movie,?? ????? ???????,,,,,,,
sentence_25,??? ??????,Levantine,"Asking ""why are you late?""",????? ??????,,,,,,,
sentence_26,,,,,,,,,,,
sentence_27,??? ?????,Iraqi,"Asking ""where do you study?""",??? ?????,,,,,,,
sentence_28,?? ???? ????,Egyptian,"Saying ""not free now""",??? ??????? ????,,,,,,,
sentence_29,??? ?????,Levantine,"Asking ""how is your health?""",??? ?????,,,,,,,
sentence_3,??? ?????,Levantine,"Uses ""???"" for ""where"" and ""????"" for ""going"" (masculine form)",??? ??? ?????,,,,,,,
sentence_30,?? ?????,Gulf,"Expression meaning ""take your time""",?? ????,,,,,,,
sentence_31,??? ?? ????,Iraqi,"Asking ""why didn’t you eat?""",????? ?? ?????,,,,,,,
sentence_32,??? ??? ?????,Levantine,"Asking ""where are you going?""",??? ??? ?????,,,,,,,
sentence_33,????? ??? ????????,Egyptian,"Saying ""thanks for the help""",????? ??? ????????,,,,,,,???????????
sentence_34,???? ??? ?????,Gulf,"Command ""come here quickly""",???? ??? ??? ?????,,,,,,,
sentence_35,,,,,,,,,,,
sentence_36,?? ??? ?????,Levantine,"Asking ""what do you want to eat?""",???? ???? ?? ?????,,,,,,,
sentence_37,??? ????????,Egyptian,"Asking ""where is the car?""",??? ????????,,,,,,,
sentence_38,??? ??????,Gulf,"Asking ""who is my friend?""",?? ?? ??????,,,,,,,
sentence_39,????? ??????,Iraqi,"Asking ""how are you today?""",??? ???? ??????,,,,,,,
sentence_4,??????,Iraqi,"Uses ""?????"" meaning ""how are you"" (masculine)",???  ?????,,,,,,,
sentence_40,?? ??????,Levantine,"Asking ""what’s the story?""",?? ??????,,,,,,,
sentence_41,???? ?????,Egyptian,"Asking ""when will you go?""",??? ??????,,,,,,,
sentence_42,?? ???? ?? ????,Gulf,"Expression meaning ""take care of yourself""",???? ?????,,,,,,,
sentence_43,??? ?? ?????,Iraqi,"Asking ""why didn’t you reply?""",????? ?? ????,,,,,,,
sentence_44,??? ??????,Levantine,"Asking ""where are your family?""",??? ?????,,,,,,,
sentence_45,???? ???,Egyptian,"Expression meaning ""very nice/beautiful""",????? ????,,,,,,,
sentence_46,???? ??????,Gulf,Offering coffee politely,???? ??????,,,,,,,
sentence_47,???? ???? ??????,Iraqi,Asking about today’s weather,??? ????? ??????,,,,,,,
sentence_48,?? ??? ????,Levantine,"Asking ""what happened to you?""",???? ??? ???,,,,,,,
sentence_49,??? ???????,Egyptian,"Asking ""where is the passport?""",??? ???? ??????,,,,,,,
sentence_5,??? ??????.,Gulf,"Uses ""???"" as a command to give something",?? ??????.,,,,,,,
sentence_50,??? ????,Gulf,"Phrase meaning ""let’s go""",??? ????,,,,,,,
sentence_51,????? ?? ??????,Iraqi,"Greeting ""how are you my friend?""",??? ???? ?? ??????,,,,,,,
sentence_52,?? ?????,Levantine,"Asking ""what do you like?""",???? ????,,,,,,,
